T 階段,功能 ID,功能名稱,領域,一句話說明,今天的狀態,依賴功能 ID,依賴功能名稱,為何不能更早,做完之後解鎖什麼,前提條件,變現角色,工量,被哪些功能依賴
T2,live-routing-eta,真實路線與交通時間,旅途中,兩點之間真的要多久：走路、捷運、公車、開車用真實路網算，不是直線距離除以速度。,未開始,backend-db,後端服務與資料庫,路線服務金鑰不能放前端，必須有伺服器代打與快取，否則費用與安全都不成立。,遲到偵測才有分母；調整卡上寫的新時間才敢直接印出來；行程生成才排得出動線。,路線來源選型與費用（Google Directions 計價且限制儲存、自架 OSRM 需自備路網）；台灣大眾運輸走 TDX，需申請帳號；日韓需另找來源。今天全部用直線距離乘 1.25 除以每分鐘 75 公尺。,變現前提,L,AI 行程生成 | 行程可行性檢查 | 異常自動偵測 | 多城市行程 | 跟 AI 說一句
T2,split-day-engine,分頭行動建議,社交協作,當怎麼喬都有人要犧牲時，建議這一天分兩隊走、晚上約在某處會合。,部分完成,consensus-engine | live-room-state,共識計算引擎 | 投票即時生效,要分隊得先知道誰跟誰意見一致，而那必須來自會動的真實票數，不是寫死名單。,可以刪掉另一條讀硬寫死資料的假共識路徑，全 App 只剩一套邏輯。,無外部前提。行程結構已支援雙軌與會合點，要寫的是把爭議與投票分佈轉成兩條路線的演算法。,留存,L,
T2,real-deep-links,真實深連結外導,變現,『前往 Klook』真的打開那個商品頁，網址帶上自己的追蹤代碼與這次點擊的編號。,未開始,affiliate-accounts | affiliate-outbound-ui,聯盟帳號申請 | 外導交棒流程,沒有聯盟帳號就沒有追蹤代碼可帶；帶錯或不帶等於把人送過去卻拿不到任何回報。,第一塊真實收入的可能性，也是伺服器歸因與所有對帳的起點。,每個商品要有可對應的平台商品網址——今天 35 筆優惠與 19 個商品的資料結構完全沒有網址欄位，要逐筆補上並定期檢查失效。,直接變現,M,點擊歸因與同意 | 同行購票提醒 | 缺住宿提醒 | 途中情境優惠
T3,content-cms,內容資料庫與後台,內容,景點、故事、優惠可由非工程師新增修改，不用改程式重新上線。,未開始,poi-database-backend | user-accounts,景點資料庫 | 使用者帳號登入,內容要能被編輯先要能被儲存（poi-database-backend 只做資料模型與讀取，不含編輯介面）；後台要能分權先要有帳號。今天改一個字要重新部署。,內容產能第一次不等於工程產能；贊助置頂終於有庫存可跑；商家上架、創作者投稿、內容時效維護全部掛在它上面。,現有資料（80 景點／15 故事／35 優惠／19 商品）的搬遷腳本、媒體檔案儲存、編輯權限、草稿與發布狀態。本項是 T3 三個 XL 之一，實務上應排在 T3 第二波。,變現前提,XL,贊助版位 | 故事覆蓋率擴充 | 內容時效維護 | 在地商家核銷 | 在地導覽員投稿
T3,llm-gateway,LLM 代理層,基礎建設,用到 AI 時經過自家伺服器，金鑰不外流，每個人的用量與花費都有上限。,未開始,backend-db | user-accounts,後端服務與資料庫 | 使用者帳號登入,金鑰放前端等於公開，所以要有伺服器擋著；花費上限要綁到人，所以要先有帳號。,這個 App 第一次出現真正的 AI——今天掛 AI 的三個地方都不是模型。自由對話與匯入解析全部卡在這一層。,模型供應商帳號、每功能用量成本估算、每人每日上限、超額時退回演算法版本而不是壞掉。這是唯一會隨活躍使用者線性成長的成本，規劃時以每位月活躍使用者 NT$5–15 估。,無,L,跟 AI 說一句 | 匯入外部行程
T3,native-app-store,原生 App 與商店上架,基礎建設,包成可上架的手機 App，在 App Store 與 Google Play 搜尋得到。,未開始,pwa-shell | user-accounts | privacy-pdpa,PWA 與離線基礎 | 使用者帳號登入 | 隱私與個資法遵,要有可送審的殼、要有帳號刪除功能（Apple 強制）、要填得出隱私標籤，三者缺一送審就會被退。,背景定位、推播、離線快取；也是獲客鏈的一節，以及任何商業洽談對方會先問的『你們上架了嗎』。,Apple 開發者帳號（年費約 US$99）與 Google Play 帳號（約 US$25）、身分驗證、以及不會被以『僅是網頁包殼』退件的體驗。,變現前提,L,推播通知 | 背景定位 | 離線行程包與鎖屏播放
T3,i18n-infra,多語系基礎建設,基礎建設,把畫面上的字從程式裡抽出來，讓整個 App 可以換成英文、日文、韓文。,未開始,,,技術上零依賴，最早可在 T1；排在這裡是資源排序而非依賴限制——它服務的是入境旅客市場，在行程生成與帳號都還沒到位前投入沒有回報。,15 篇故事已宣告三語但只有中文有內容，有了這層才有地方放另外兩語。,翻譯資源。故事文本是原創內容，機器翻譯直接上會毀掉語音導覽的質感。,留存,M,多語導覽（英／日）
T3,itinerary-generator,AI 行程生成,探索與規劃,問完去哪、幾天、跟誰、想做什麼之後，真的產出一份排好順序與時間的行程。,部分完成,real-trip-dates | poi-database-backend | live-routing-eta,行程真實日期 | 景點資料庫 | 真實路線與交通時間,要排出一天的動線，必須先有夠多景點可選、知道兩點間真實移動時間、也知道是哪幾天——三者最早分別在 T2、T2、T1 完成。注意它並不依賴 user-accounts 或 trip-cloud-sync：生成一份行程本身不需要帳號，需要帳號的是把它存起來。,補上使用者旅程『規劃』那一段的空洞，MODEL B 才有大量真實行程可讀。,排程規則的產品決策（一天排幾個點、幾點吃飯、輕鬆與特種兵怎麼換算）。今天精靈問完五題後答案全部丟棄，只產生 5 天空行程。,變現前提,XL,缺住宿提醒
T3,multi-city-trip,多城市行程,探索與規劃,一趟行程可以跨城市，含城市與城市之間那一段交通。,未開始,trip-timeline | live-routing-eta,行程時間軸 | 真實路線與交通時間,行程目前只掛一個城市，跨城要改資料結構；而城際那段的時間必須算得出來才排得進去。,環島與跨縣市這種台灣最常見的型態才成立；住宿也才會出現『第三天換旅館』。,城際交通資料（台鐵、高鐵、國道客運時刻），目前完全沒有；80 個景點也沒有任何一個是轉運站類型。,變現前提,L,
T3,saved-collections,收藏清單,探索與規劃,按下愛心是真的存起來，換手機都還在，而且有一個看得到全部收藏的頁面。,部分完成,poi-detail | user-accounts,景點詳情頁 | 使用者帳號登入,收藏是掛在某個人名下的資料，沒有帳號就只能活在這支手機的這一次開啟裡。,收藏是『還沒決定但有興趣』的訊號，是行程生成與推薦最便宜的輸入來源。,無額外內容需求。今天愛心只切換元件內狀態，換頁即消失。,留存,S,
T3,plan-feasibility-check,行程可行性檢查,探索與規劃,排完主動說：這天週一公休、這兩點來不及、這段回程末班車已過。,未開始,opening-hours-feed | live-routing-eta | real-trip-dates,營業時間資料 | 真實路線與交通時間 | 行程真實日期,要判斷來不來得及、有沒有開，必須同時有真日期、真營業時間、真移動時間，三缺一就只能猜。檢查對象是任何一份有日期的行程，包含 T1 手動編輯出來的與 T3 生成出來的，因此不以 itinerary-generator 為前置。,即時調整從手動觸發，變成出發前就會自己開口。,無額外合約需求。,留存,M,
T3,trip-budget,行程預算,探索與規劃,出發前就看得到這趟大概要花多少，以及超出時的提醒。,未開始,trip-timeline | poi-database-backend,行程時間軸 | 景點資料庫,要估錢得先知道行程裡有哪些要付費的項目，而價格是掛在景點與商品資料上的欄位。,推薦可以變成『符合你預算的那一張票』，也把出發前預算與旅途中記帳接成一條線。,價格資料來源。在拿到商品資料饋送前，畫面上只能標為預估價，絕不可寫成即時價或最低價。,變現前提,M,
T3,adapt-auto-trigger,異常自動偵測,旅途中,不用手動按，App 自己看時間、位置、天氣、營業狀態，發現不對就把調整卡推出來。,未開始,adapt-engine | location-permission | external-data-feeds | opening-hours-feed | live-routing-eta | today-mode,行程調整引擎 | 定位權限與藍點 | 天氣與即時資料源 | 營業時間資料 | 真實路線與交通時間 | 街頭今日模式,引擎在 T0 就完成，缺的一直是輸入。四個訊號缺任何一個都會誤判，而誤判一次比不提醒更傷。,『旅途中會即時幫你調整的 AI 旅行助手』這句話，從簡報變成產品實際會做的事；也讓打擾規則有東西可規範。,觸發門檻要訂（遲到幾分鐘、降雨機率幾成、偏離多遠）；每次觸發都要留下可回溯的理由並寫在卡片上讓使用者驗證。,變現前提,XL,打擾規則設定 | 保護訂位重排
